Pressure_psi,Depth_ft,Temperature_F,Retarder_pct,Density_ppg,ThickeningTime_hr
6094.11,13555.57,193.97,1.082,13.1,10.26
2322.93,10281.49,262.78,0.292,16.46,8.5
3322.16,11119.74,158.3,1.923,13.48,12.27
3106.23,13095.02,230.34,2.284,16.88,12.08
3055.44,14996.81,232.07,0.525,13.62,9.41
6872.57,7619.25,214.3,1.248,15.65,9.74
7540.07,9802.93,201.64,1.973,16.17,12.12
3659.45,8610.09,253.23,0.802,15.46,8.36
6918.53,13439.79,277.43,0.743,14.67,8.5
7339.36,10966.11,256.1,1.29,14.38,9.58
5077.82,5026.5,260.43,1.239,17.11,8.36
3469.79,12052.36,242.45,0.882,16.25,9.08
6945.45,10471.29,228.85,2.275,12.37,13.01
3282.58,13194.72,263.05,0.845,15.99,7.77
6448.8,12056.29,272.43,1.018,17.88,7.26
5779.64,6913.1,152.04,1.724,16.45,10.16
7564.44,11171.29,295.25,0.345,15.48,5.82
3391.45,9411.21,270.84,0.369,12.29,8.98
6794.75,14144.77,178.16,1.657,13.08,11.98
5108.99,9388.6,185.48,0.489,13.86,9.95
3389.33,8922.13,296.38,1.646,12.1,10.31
2995.42,8496.56,298.57,0.714,12.89,8.46
4986.73,7588.77,161.65,2.379,17.41,12.4
5496.35,14200.72,166.57,0.447,12.04,10.22
3106.03,9277.26,298.63,0.586,16.2,7.33
2089.37,5323.72,211.1,1.764,13.7,11.33
4826.8,10002.2,267.91,1.406,17.13,8.97
6369.46,14298.74,290.39,2.291,12.95,11.87
7511.6,7771.66,196.42,1.129,16.23,10.59
5753.2,14613.83,254.72,0.128,16.85,6.83
7502.74,7895.45,210.11,1.15,15.9,9.91
7188.14,6502.0,225.64,2.225,13.21,11.81
3308.86,7144.19,198.18,1.193,13.61,10.56
7196.76,5149.87,160.16,0.886,12.32,11.73
6384.51,10741.05,173.97,0.133,16.16,8.09
3667.19,10624.79,181.76,0.697,16.36,8.55
6782.26,11310.97,232.67,1.505,12.81,10.75
7191.33,12657.38,297.63,1.392,16.64,8.5
3796.63,13635.36,232.61,1.397,16.25,9.6
5162.25,10623.81,164.65,0.617,12.33,10.54
2428.92,14992.99,180.47,2.264,17.73,11.18
5499.43,5776.88,226.93,1.167,16.86,9.81
3427.44,13689.44,179.41,1.753,14.28,12.03
6589.78,14139.0,253.23,1.336,14.29,9.35
3041.79,6581.1,215.03,1.358,15.39,9.68
3876.45,6453.79,169.04,2.45,14.39,12.13
2086.85,8340.03,200.13,1.656,15.39,10.48
2195.31,9291.58,166.59,0.338,13.64,9.94
4980.21,7362.7,205.83,1.683,13.72,12.14
4809.88,8265.37,239.16,2.034,12.32,11.75
2766.14,6858.78,151.73,1.521,13.23,12.13
3545.38,5931.39,298.2,1.264,17.42,7.76
2019.09,12282.99,209.44,1.219,12.83,10.06
4286.41,14616.78,166.8,0.622,17.82,9.06
5455.24,8799.11,233.67,0.359,12.62,8.47
4563.79,6010.23,183.65,0.743,15.03,10.4
7010.61,7104.0,225.62,2.38,17.62,10.26
5698.95,5864.01,262.23,1.834,17.22,8.93
3596.5,10285.86,223.72,0.473,14.95,9.29
6866.13,6127.75,216.79,0.105,17.93,6.19
4996.92,5645.8,176.14,0.72,14.83,9.18
6552.86,14751.97,294.96,1.26,17.33,8.86
5396.53,8180.11,274.72,1.319,17.87,8.58
4624.64,6850.48,184.84,0.4,15.27,9.27
4376.93,5134.91,227.37,2.216,16.58,11.62
2133.41,5870.52,253.08,1.811,14.39,10.94
4816.1,13492.54,290.5,0.653,15.03,7.64
5741.35,10259.93,167.96,2.257,14.72,13.14
7676.68,7524.46,159.68,0.738,13.14,10.98
4611.96,13109.21,288.31,0.736,12.22,9.09
4913.85,10957.43,174.77,0.91,15.53,9.63
5114.69,12429.87,243.92,0.557,13.82,9.11
4451.55,13024.45,250.34,0.768,15.95,8.37
5472.77,7828.78,281.13,1.928,15.87,10.58
2422.1,9394.74,222.81,2.257,17.68,11.87
4930.3,13556.0,285.25,0.593,14.98,8.25
5660.87,12016.34,239.11,0.132,16.09,7.64
6463.27,10603.0,163.13,2.326,16.0,13.23
4578.98,7695.01,252.38,1.502,15.19,9.84
3816.81,14734.37,168.7,1.331,14.03,9.91
2035.34,5609.99,176.54,1.02,17.69,7.96
6538.87,6272.24,187.05,1.631,12.53,11.86
2465.46,14154.53,204.9,1.623,17.97,9.86
4939.93,7898.4,212.1,0.661,17.99,8.26
3826.17,9456.87,256.08,1.423,16.55,9.61
7044.93,9802.11,236.28,1.646,16.44,10.13
7702.86,11238.66,215.81,1.21,12.04,10.3
3913.25,9566.78,176.95,0.19,12.51,9.14
7386.61,11907.82,264.94,0.907,16.26,8.47
4025.17,13753.53,275.08,2.007,17.95,9.8
6872.67,5521.95,196.01,0.856,17.17,8.87
6793.06,9128.79,276.19,0.338,14.17,8.53
